icao24,firstseen,takeofftime,lastseen,landingtime,callsign,estdepartureairport,airportofdeparture,estarrivalairport,airportofdestination,model, typecode, registration
aba324,1662051930.0,,1662055738,,ASA238  ,KLAS,,KSFO,,A320-214,A320,N849VA
aba324,1662039720.0,,1662043648,,ASA238  ,KSFO,,KLAS,,A320-214,A320,N849VA
aba324,1661990404.0,,1661997396,,ASA1080 ,,,KSFO,,A320-214,A320,N849VA
abb930,1662066750.0,,1662069809,,SWA3112 ,KDAL,,KLIT,,737-800,B738,N8544Z
abb930,1661993848.0,,1662001869,,SWA1333 ,KLAS,,KDAL,,737-800,B738,N8544Z
abaeb2,1662069482.0,,1662074191,,SWA2368 ,KMDW,,KUZA,,737NG 800/W,B738,N8519R
abaeb2,1662057270.0,,1662064367,,SWA1239 ,KMSY,,KMDW,,737NG 800/W,B738,N8519R
abaeb2,1662040778.0,,1662052767,,SWA1239 ,KLAX,,KMSY,,737NG 800/W,B738,N8519R
abaeb2,1662000434.0,,1662010647,,SWA1200 ,KHOU,,KLAX,,737NG 800/W,B738,N8519R
abaeb2,1661990515.0,,1661993124,,SWA1199 ,,,21XS,,737NG 800/W,B738,N8519R
abc4be,1662067533.0,,1662075325,,SWA575  ,KTPA,,KLGA,,737-800,,N8577Z
abc4be,1662053778.0,,1662059772,,SWA2408 ,KRDU,,KTPA,,737-800,,N8577Z
abc4be,1662047465.0,,1662050605,,SWA2407 ,KATL,,KRDU,,737-800,,N8577Z
abc4be,1662030469.0,,1662037272,,SWA2407 ,KSAT,,KATL,,737-800,,N8577Z
abc4be,1662002027.0,,1662008275,,SWA1885 ,KSTL,,KSAT,,737-800,,N8577Z
abc4be,1661992054.0,,1661996184,,SWA1884 ,KATL,,KSTL,,737-800,,N8577Z
abc6bc,1662055052.0,,1662060814,,N858TC  ,6NC8,,PN64,,58TC,,N858TC
abc6bc,1662047037.0,,1662051178,,N858TC  ,,,NC29,,58TC,,N858TC
abc865,1662041517.0,,1662047358,,N8587H  ,KMLI,,KAFW,,EMB-135BJ,E35L,N8587H
abbd2d,1662067429.0,,1662073157,,SWA2806 ,KPHL,,KATL,,737-800,B738,N8556Z
abbd2d,1662057547.0,,1662062817,,SWA3082 ,KMDW,,KPHL,,737-800,B738,N8556Z
abbd2d,1662048601.0,,1662052912,,SWA2546 ,KBUF,,KMDW,,737-800,B738,N8556Z
abbd2d,1662042323.0,,1662045170,,SWA2546 ,KBWI,,KBUF,,737-800,B738,N8556Z
abbd2d,1662024121.0,,1662036477,,SWA2546 ,TJSJ,,KBWI,,737-800,B738,N8556Z
